"<p>We don't need One Perfect Solution, we can...</p>";"<p>...stack several imperfect solutions! (Swiss Cheese Model)</p><img src='aisffs-cheese.png'>"
"<p>What is Scalable Oversight?</p>";"<p>Instead of trying to oversee an AI much more capable than you, you oversee a slightly-more capable AI, which oversees a slightly-more capable AI, repeat!</p><img src='aisffs-so.png'>"
"<p>How can you make scalable oversight more robust?</p>";"<p>By adding parallel chains of overseers (whose failure modes are as <em>uncorrelated</em> as possible)</p><img src='aisffs-robust-chains.png'>"
"<p>Scalable Oversight lets us convert the impossible question, “How do you oversee a thing that's 1000x smarter than you?” to the more feasible question...</p>";"<p>“How do you oversee a thing that's only a bit smarter than you, <em>and</em> you can train it from scratch, read its mind, and nudge its thinking?” (you don't have to remember this exactly, just the gist of it)</p>"
"<p>Name at least 2 specific implementations of Scalable Oversight:</p>";"<p>(any 2 of the following work:) Recursive Reward Modeling, Prover-Verifier Games, Weak-to-Strong Generalization, Debate, Superfiltering, Iterated Distillation &amp; Amplification</p>"
"<p>The pattern in AI Safety <s>paranoia</s> Security Mindset:</p>";"<p>Step 1: Imagine giving an AI an innocent-seeming goal. Step 2: Think of a bad way it could <em>technically</em> achieve that goal.</p>"
"<p>The 'Future Lives' approach is like having an AI apply _____ against itself</p>";"<p><strong>Security Mindset</strong> (“Think of the worst that could happen, in advance. Then fix it.”)</p>"
"<p>The 'Future Lives' algorithm, in sum:</p>";"<p>1] Robot predicts the future results of possible actions, and how <em>current you</em> would react to <em>those futures</em>. 2] Robot picks the action whose future you'd most approve of, and <em>not</em> the futures that current-you would disapprove of.</p>"
"<p>The 'Future Lives' approach, as described by Stuart Russell: (you don't need to remember the quote exactly, just paraphrase it)</p>";"<p>[Imagine] if you were somehow able to <strong>watch two movies</strong>, each describing in sufficient detail and breadth <strong>a future life</strong> you might lead [as well as the consequences outside of &amp; after your life.] <strong>You could say which you prefer, or express indifference.</strong></p>"
"<p>What does 'indirect normativity' mean?</p>";"<p>An approach where, instead of directly specifying our values, we specify <em>how to learn</em> our values.</p>"
"<p>Why may we NOT need a perfect alignment algorithm to start with?</p>";"<p>Like recursive self-improvement in AI Capabilities, above a certain <strong>'critical mass'</strong>, the alignment algorithm <em>can improve itself</em> to fix its flaws. (Let it go meta!)</p>"
"<p>One limitation of the 'self-improving AI Alignment' idea</p>";"<p>It requires risky levels of AI Capabilities to work in the first place. (so, this needs to be stacked with other security measures)</p>"
"<p>A solution to the problem of AIs being 100% sure about your values:</p>";"<p>Make AIs <em>know they don't know</em> your true values. (and so, learn &amp; serve them cautiously)</p>"
"<p>Three steps to learning your values &amp; acting on them safely:</p>";"<p>1] Start with a good-enough 'prior'. 2] Everything Human says/does is a <em>clue</em> to true values, not 100% ground truth. 3] Maximize worst(-ish) case</p>"
"<p>Three main ways to maximize uncertain value</p>";"<p>Maximize average-case (most common), worst-case (safest), or best-case (riskiest). (extra note: it's also possible to do any in-between, like 'maximize the 5%th-worst percentile'.)</p>"
"<p>An example that shows why 'aim at a goal <em>you know you don't know</em>' is not that mysterious:</p>";"<p>(Either example works:) 1] The game of Battleship (goal is to hit ships of unknown position). 2] Wanting to get a good gift for your friend, but not knowing what they'd want.</p>"
"<p>Name one specific technique for “learning a human's values”</p>";"<p>(Any of the following work:) Inverse reinforcement learning (IRL), Cooperative inverse reinforcement learning (CIRL), Reinforcement Learning from Human Feedback (RLHF)</p>"
